ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
292,75000,delivered,1,4,0,75,30,9000,often,good,7000,0,0,0,0,90,145.66,10
293,90000,delivered,1,6,0,75,15,5000,often,good,9000,0,0,0,0,50,188.32,20
294,60000,delivered,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,130,284.86,16
295,105000,delivered,1,6,0,75,15,3000,not_often,good,9000,0,0,0,0,30,458.75,30
296,40000,delivered,1,4,0,75,60,3000,not_often,fair,3000,0,0,0,0,30,564.72,38
297,85000,delivered,1,6,0,75,15,3000,often,very good,9000,0,0,0,0,30,489.34,35
298,45000,delivered,1,3,0,75,35,6000,not_often,good,7000,0,0,0,0,60,409.46,27
299,65000,delivered,1,4,0,75,30,3000,not_often,good,7000,0,0,0,0,30,525.76,23
300,45000,delivered,2,3,0,75,40,6000,often,good,7000,0,0,0,0,60,429.38,9
301,100000,delivered,1,4,0,75,15,5000,not_often,good,9000,0,0,0,0,50,192.46,2
302,100000,delivered,1,5,0,75,40,6000,not_often,fair,4000,0,0,0,0,60,222.27,3
303,100000,delivered,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,100,264.75,4
304,100000,delivered,1,4,0,75,55,7000,often,good,4000,0,0,0,0,70,283.44,4
305,100000,delivered,1,4,0,75,30,7000,not_often,good,7000,0,0,0,0,70,269.03,4
306,100000,delivered,1,6,0,75,15,6000,not_often,good,9000,0,0,0,0,60,239.04,4
307,100000,delivered,1,3,0,75,40,9000,often,fair,7000,0,0,0,0,140,179.36,3
308,70000,delivered,1,5,0,75,35,9000,often,fair,4000,0,0,0,0,90,147.41,3
309,65000,delivered,1,5,0,75,40,8000,not_often,good,4000,0,0,0,0,80,183.85,3
310,105000,delivered,1,4,0,75,15,9000,often,fair,8000,0,0,0,0,100,216.09,4
311,100000,carried,1,3,0,75,15,9000,not_often,fair,11000,0,0,0,0,120,114.04,2
312,65000,delivered,1,5,0,75,40,9000,often,fair,4000,0,0,0,0,120,73.16,1
313,70000,carried,1,5,0,75,40,7000,often,good,4000,0,0,0,0,70,114.74,2
314,90000,delivered,1,6,0,75,20,6000,not_often,fair,9000,0,0,0,0,60,152.21,4
315,70000,delivered,1,5,0,75,40,4000,often,fair,4000,0,0,0,0,40,208.63,4
316,90000,delivered,1,6,0,75,20,7000,often,fair,9000,0,0,0,0,70,147.33,3
317,45000,carried,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,200,57.28,2
318,60000,carried,1,3,0,75,40,9000,not_often,fair,7000,0,0,0,0,120,110.26,1
319,40000,delivered,2,4,0,75,60,9000,often,good,3000,0,0,0,0,110,154.15,3
320,40000,delivered,1,4,0,75,60,9000,often,fair,3000,0,0,0,0,110,196.76,4
321,105000,delivered,1,3,0,75,20,9000,often,fair,11000,0,0,0,0,140,190.08,4
322,100000,delivered,1,2,0,75,40,9000,often,fair,13000,0,0,0,0,220,183.97,0
323,100000,delivered,1,6,0,75,20,9000,not_often,fair,9000,0,0,0,0,100,60,1
324,100000,delivered,1,3,0,75,40,9000,often,good,7000,0,0,0,0,140,164.91,3
325,100000,delivered,1,3,0,75,40,6000,often,good,7000,0,0,0,0,60,193.76,3
326,100000,delivered,1,6,0,75,20,3000,often,good,9000,0,0,0,0,30,229.71,3
327,100000,delivered,1,5,0,75,40,3000,often,fair,4000,0,0,0,0,30,244.77,5
